name_displayed,country_code,pop_2014,audience_2014,pct_audience_2014,region,attribute,listed_FIFA_2014,region_org
Brazil,BRA,204213133,164602136,0.806031099,South America,Country,Brazil,South America
Colombia,COL,47791911,39413970,0.824699602,South America,Country,Colombia,South America
Argentina,ARG,42981515,32563530,0.757617083,South America,Country,Argentina,South America
Venezuela,VEN,30738378,21394659,0.696024332,South America,Country,Venezuela,South America
Peru,PER,30973354,16721875,0.539879375,South America,Country,Peru,South America
Chile,CHL,17613798,13390991,0.760255738,South America,Country,Chile,South America
Ecuador,ECU,15903112,11441966,0.719479684,South America,Country,Ecuador,South America
Paraguay,PRY,6552584,4482587,0.68409455,South America,Country,Paraguay,South America
Bolivia,BOL,10562159,2949139,0.27921744,South America,Country,Bolivia,South America
Uruguay,URY,3419546,2681613,0.78420147,South America,Country,Uruguay,South America
Guyana,GUY,763393,497289,0.651419387,South America,Country,Guyana,South America
Suriname,SUR,547928,302698,0.552441197,South America,Country,Suriname,South America
Australia,AUS,23504138,8165460,0.34740521,Oceania,Country,Australia,Oceania
New Zealand,NZL,4509700,1452593,0.322104131,Oceania,Country,New Zealand,Oceania
Papua New Guinea,PNG,7755785,1263981,0.162972671,Oceania,Country,Papua New Guinea,Oceania
Fiji,FJI,885806,250710,0.28303037,Oceania,Country,Fiji,Oceania
Solomon Islands,SLB,575504,172020,0.298903222,Oceania,Country,Solomon Islands,Oceania
Samoa,WSM,192290,33672,0.17511051,Oceania,Country,Samoa,Oceania
Tonga,TON,105782,19508,0.184417009,Oceania,Country,Tonga,Oceania
American Samoa,ASM,55437,12627,0.227772066,Oceania,Country,American Samoa,Oceania
Cook Islands,COK,34918,10907,0.312360387,Oceania,Country,Cook Islands,Oceania
Palau,PLW,21094,3843,0.182184507,Oceania,Country,Palau,Oceania
United States,USA,318563456,105255000,0.33040513,"North, Central America & Caribbean",Country,United States,"North, Central America & Caribbean"
Mexico,MEX,124221600,81473080,0.655868867,"North, Central America & Caribbean",Country,Mexico,"North, Central America & Caribbean"
Canada,CAN,35535348,20986000,0.590566891,"North, Central America & Caribbean",Country,Canada,"North, Central America & Caribbean"
Cuba,CUB,11439767,6323978,0.552806539,"North, Central America & Caribbean",Country,Cuba,"North, Central America & Caribbean"
Honduras,HND,8809216,5741325,0.651740745,"North, Central America & Caribbean",Country,Honduras,"North, Central America & Caribbean"
El Salvador,SLV,6281189,5251337,0.83604187,"North, Central America & Caribbean",Country,El Salvador,"North, Central America & Caribbean"
