name_displayed,country_code,pop_2014,audience_2014,group,pct_audience_2014,region,attribute,listed_FIFA_2014,region_org
Other Caribbean Countries,NA,0,1594666,,0,"North, Central America & Caribbean",Region,Pan Caribbean,"North, Central America & Caribbean"
Other Middle Eastern Countries,NA,0,70762643,,0,Middle East,Region,Pan Middle East,Africa and Middle East
French Overseas Territories,NA,0,1268270,,0,French Overseas Territories,Region,French Overseas Territories,French Overseas Territories
Other Asian Countries,NA,0,157538,,0,Asia,Region,Pan Asia,Asia
Other African Countries,NA,0,2365549,,0,Africa,Region,Pan Africa,Africa and Middle East
Palau,PLW,21094,3843,1,0.1821845074,Oceania,Country,Palau,Oceania
"Anguilla, Montserrat & Nevis",NA,30796,14733,1,0.4784062865,"North, Central America & Caribbean",Region,"Anguilla, Montserrat & Nevis","North, Central America & Caribbean"
Turks & Caicos,TCA,33739,93642,1,2.775482379,"North, Central America & Caribbean",Country,Turks & Caicos,"North, Central America & Caribbean"
Cook Islands,COK,34918,10907,1,0.3123603872,Oceania,Country,Cook Islands,Oceania
American Samoa,ASM,55437,12627,1,0.2277720656,Oceania,Country,American Samoa,Oceania
Cayman Islands,CYM,59172,24971,1,0.4220070304,"North, Central America & Caribbean",Country,Cayman Islands,"North, Central America & Caribbean"
Bermuda,BMU,65139,34960,1,0.5366984449,"North, Central America & Caribbean",Country,Bermuda,"North, Central America & Caribbean"
Seychelles,SYC,91359,53360,1,0.5840694403,Africa,Country,Seychelles,Africa and Middle East
Antigua & Barbuda,ATG,98875,41203,1,0.4167180784,"North, Central America & Caribbean",Country,Antigua & Barbuda,"North, Central America & Caribbean"
Aruba,ABW,103795,41827,1,0.402977022,"North, Central America & Caribbean",Country,Aruba,"North, Central America & Caribbean"
Tonga,TON,105782,19508,1,0.1844170086,Oceania,Country,Tonga,Oceania
St. Vincent,VCT,109357,56185,1,0.5137759814,"North, Central America & Caribbean",Country,St. Vincent,"North, Central America & Caribbean"
Curacao,CUW,155909,66174,1,0.4244398976,"North, Central America & Caribbean",Country,Curacao,"North, Central America & Caribbean"
St. Lucia,LCA,176421,88024,1,0.4989428696,"North, Central America & Caribbean",Country,St. Lucia,"North, Central America & Caribbean"
Samoa,WSM,192290,33672,1,0.1751105102,Oceania,Country,Samoa,Oceania
Barbados,BRB,283385,131099,1,0.4626179932,"North, Central America & Caribbean",Country,Barbados,"North, Central America & Caribbean"
Iceland,ISL,327386,160028,1,0.4888052635,Europe,Country,Iceland,Europe
Maldives,MDV,408247,73751,1,0.1806528891,Asia,Country,Maldives,Asia
Brunei,BRN,411704,268187,1,0.6514073218,Asia,Country,Brunei,Asia
Malta,MLT,427364,282442,1,0.66089329,Europe,Country,Malta,Europe
Cape Verde,CPV,526437,189896,1,0.3607193263,Africa,Country,Cape Verde,Africa and Middle East
Suriname,SUR,547928,302698,1,0.5524411967,South America,Country,Suriname,South America
Solomon Islands,SLB,575504,172020,1,0.2989032222,Oceania,Country,Solomon Islands,Oceania
Macau,MAC,588781,283607,1,0.4816850408,Asia,Country,Macau,Asia
Montenegro,MNE,621810,413064,1,0.6642929512,Europe,Country,Montenegro,Europe
Guyana,GUY,763393,497289,1,0.6514193869,South America,Country,Guyana,South America
Fiji,FJI,885806,250710,1,0.2830303701,Oceania,Country,Fiji,Oceania
