name_displayed,country_code,pop_2014,audience_2014,pct_audience_2014,region,attribute,listed_FIFA_2014
Turks & Caicos,TCA,33739,93642,2.775482379,"North, Central America & Caribbean",Country,Turks & Caicos
Bosnia-Herzegovina,BIH,3566002,3464200,0.9714520631,Europe,Country,Bosnia-Herzegovina
Netherlands,NLD,16865008,14800900,0.8776100195,Europe,Country,Netherlands
El Salvador,SLV,6281189,5251337,0.8360418704,"North, Central America & Caribbean",Country,El Salvador
Colombia,COL,47791911,39413970,0.8246996024,South America,Country,Colombia
Germany,DEU,80982500,65831015,0.8129042077,Europe,Country,Germany
Brazil,BRA,204213133,164602136,0.8060310989,South America,Country,Brazil
Albania,ALB,2889104,2325192,0.8048142261,Europe,Country,Albania
Uruguay,URY,3419546,2681613,0.78420147,South America,Country,Uruguay
Japan,JPN,127276000,97331022,0.76472408,Asia,Country,Japan
Chile,CHL,17613798,13390991,0.7602557381,South America,Country,Chile
Croatia,HRV,4238389,3215824,0.758737341,Europe,Country,Croatia
Argentina,ARG,42981515,32563530,0.7576170826,South America,Country,Argentina
Norway,NOR,5137232,3878000,0.7548812279,Europe,Country,Norway
Denmark,DNK,5643475,4228000,0.7491837919,Europe,Country,Denmark
Costa Rica,CRI,4757575,3563874,0.7490946543,"North, Central America & Caribbean",Country,Costa Rica
Lithuania,LTU,2932367,2188416,0.746296763,Europe,Country,Lithuania
Italy,ITA,60789140,45346000,0.7459556098,Europe,Country,Italy
Latvia,LVA,1993782,1473078,0.7388360413,Europe,Country,Latvia
Ecuador,ECU,15903112,11441966,0.7194796842,South America,Country,Ecuador
Greece,GRC,10892413,7818237,0.7177690563,Europe,Country,Greece
France,FRA,66331958.5,47165000,0.711044888,Europe,Country,France
Spain,ESP,46480882,32927000,0.7083987778,Europe,Country,Spain
Portugal,PRT,10401062,7309442,0.702759199,Europe,Country,Portugal
Venezuela,VEN,30738378,21394659,0.6960243315,South America,Country,Venezuela
Bulgaria,BGR,7223938,4995712,0.6915496783,Europe,Country,Bulgaria
Belgium,BEL,11209057,7733411,0.6899252096,Europe,Country,Belgium
United Kingdom,GBR,64613160,44481000,0.6884201299,Europe,Country,United Kingdom
